Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
+024.863,+001.070,+165.796,+0.709,+0.497,-0.596,+00.1710,-02.4250,+09.6770,-00.002123,+00.000342,-00.000955
+024.874,+001.067,+165.796,+0.714,+0.497,-0.588,+00.1590,-02.4130,+09.7780,-00.006839,+00.000315,+00.000855
+024.874,+001.072,+165.797,+0.715,+0.497,-0.593,+00.2040,-02.4740,+09.7340,+00.000671,-00.000089,-00.000907
+024.878,+001.072,+165.798,+0.712,+0.496,-0.590,+00.1660,-02.4830,+09.7220,+00.001559,-00.000388,-00.000192
+024.886,+001.070,+165.793,+0.716,+0.500,-0.589,+00.1740,-02.4850,+09.7190,+00.001098,-00.000727,-00.000701
+024.880,+001.069,+165.787,+0.715,+0.499,-0.591,+00.1930,-02.4660,+09.7090,-00.000715,-00.000989,-00.000136
+024.876,+001.072,+165.767,+0.715,+0.502,-0.591,+00.2110,-02.4530,+09.7350,-00.000257,+00.000467,-00.000846
+024.882,+001.069,+165.762,+0.717,+0.496,-0.585,+00.1880,-02.4340,+09.6820,-00.001290,+00.000395,+00.000250
+024.867,+001.070,+165.766,+0.715,+0.504,-0.591,+00.1880,-02.4550,+09.7510,-00.000304,+00.000612,-00.000556
+024.869,+001.068,+165.768,+0.716,+0.507,-0.598,+00.1780,-02.4770,+09.7610,-00.000822,+00.000908,+00.000200
+024.862,+001.066,+165.771,+0.716,+0.498,-0.591,+00.1940,-02.4460,+09.7390,+00.000122,+00.000444,-00.000463
+024.870,+001.066,+165.773,+0.716,+0.500,-0.595,+00.1830,-02.5940,+09.7840,+00.000422,-00.000217,+00.000294
+024.872,+001.076,+165.786,+0.717,+0.499,-0.600,+00.1900,-02.4800,+09.7210,+00.001434,+00.000328,-00.000663
+024.880,+001.075,+165.782,+0.715,+0.509,-0.588,+00.1910,-02.4610,+09.7470,+00.000263,+00.000797,-00.000099
+024.862,+001.074,+165.781,+0.716,+0.502,-0.595,+00.1780,-02.4400,+09.6960,+00.001055,+00.000366,-00.000742
+024.864,+001.075,+165.769,+0.711,+0.494,-0.592,+00.2040,-02.4480,+09.7120,-00.000224,+00.001196,+00.000845
+024.853,+001.067,+165.768,+0.717,+0.498,-0.593,+00.1870,-02.4890,+09.7060,-00.000605,-00.000003,+00.000164
+024.850,+001.073,+165.772,+0.712,+0.496,-0.590,+00.1770,-02.4630,+09.7250,+00.001062,-00.000424,-00.000521
+024.825,+001.074,+165.765,+0.715,+0.495,-0.593,+00.1780,-02.4650,+09.6780,+00.000989,-00.001252,-00.000537
+024.839,+001.080,+165.766,+0.717,+0.497,-0.594,+00.1920,-02.4900,+09.6930,+00.001634,-00.000411,+00.000538
+024.846,+001.084,+165.771,+0.718,+0.490,-0.598,+00.1620,-02.4780,+09.7500,+00.003573,-00.000770,+00.000526
+024.834,+001.080,+165.776,+0.716,+0.504,-0.598,+00.1920,-02.4940,+09.6710,-00.000215,+00.000839,-00.001431
+024.848,+001.072,+165.779,+0.716,+0.495,-0.591,+00.1850,-02.4520,+09.5740,+00.005066,-00.001598,+00.000011
+024.854,+001.075,+165.777,+0.712,+0.498,-0.592,+00.1720,-02.4610,+09.7060,+00.000074,-00.000009,-00.000765
+024.854,+001.075,+165.775,+0.714,+0.507,-0.592,+00.2030,-02.4690,+09.7990,-00.003684,+00.001336,-00.000493
+024.862,+001.077,+165.777,+0.715,+0.497,-0.586,+00.2130,-02.4610,+09.6690,-00.001454,+00.000687,-00.000764
+024.859,+001.070,+165.778,+0.711,+0.489,-0.594,+00.1830,-02.4520,+09.7670,+00.000233,-00.000059,+00.001941
+024.844,+001.066,+165.782,+0.717,+0.502,-0.596,+00.1790,-02.4920,+09.7700,-00.000021,-00.000753,-00.000051
+024.851,+001.064,+165.784,+0.719,+0.498,-0.601,+00.1700,-02.5650,+09.7070,-00.003795,+00.001303,-00.000072
+024.855,+001.066,+165.788,+0.710,+0.495,-0.594,+00.1740,-02.5010,+09.7260,+00.000825,+00.000250,+00.000939
+024.851,+001.069,+165.785,+0.721,+0.500,-0.605,+00.1980,-02.4710,+09.6590,+00.000635,-00.000529,+00.000078
+024.850,+001.070,+165.785,+0.714,+0.492,-0.599,+00.2030,-02.4640,+09.7200,-00.000703,+00.000576,+00.001063
+024.848,+001.068,+165.781,+0.716,+0.497,-0.597,+00.1920,-02.4500,+09.7230,-00.000314,+00.000350,+00.000371
+024.848,+001.073,+165.782,+0.711,+0.489,-0.594,+00.2120,-02.4690,+09.7390,+00.004804,-00.001781,-00.001302
+024.849,+001.072,+165.784,+0.718,+0.498,-0.596,+00.1960,-02.4580,+09.8010,-00.000039,-00.000423,+00.000234
+024.844,+001.071,+165.776,+0.717,+0.493,-0.596,+00.1660,-02.4310,+09.5340,-00.003775,+00.000051,+00.000114
+024.847,+001.070,+165.782,+0.718,+0.503,-0.593,+00.1760,-02.4650,+09.7100,-00.003236,+00.000015,-00.000007
+024.850,+001.074,+165.783,+0.719,+0.493,-0.599,+00.1960,-02.4600,+09.6960,+00.000225,-00.000268,-00.000307
+024.844,+001.072,+165.786,+0.714,+0.496,-0.597,+00.1830,-02.4970,+09.6890,+00.003591,+00.000309,+00.000143
+024.849,+001.064,+165.786,+0.712,+0.494,-0.595,+00.1750,-02.4660,+09.6660,+00.001269,-00.000424,+00.000178
+024.860,+001.066,+165.780,+0.716,+0.494,-0.600,+00.1770,-02.4440,+09.7430,+00.001121,-00.000161,-00.000624
+024.861,+001.066,+165.780,+0.716,+0.499,-0.595,+00.1710,-02.4410,+09.6950,-00.000411,+00.000086,+00.000129
+024.863,+001.065,+165.776,+0.717,+0.493,-0.594,+00.1680,-02.4580,+09.6910,+00.000284,+00.000071,-00.000729
+024.872,+001.066,+165.770,+0.718,+0.507,-0.593,+00.2060,-02.4780,+09.7270,+00.000981,+00.000933,-00.000255
+024.859,+001.065,+165.773,+0.712,+0.491,-0.590,+00.1800,-02.4560,+09.7220,+00.000108,+00.000501,+00.000110
+024.865,+001.062,+165.772,+0.712,+0.496,-0.594,+00.1910,-02.4620,+09.6990,+00.000178,+00.000059,-00.000549
+024.870,+001.057,+165.776,+0.712,+0.498,-0.594,+00.1810,-02.4610,+09.7690,-00.002745,+00.000119,-00.000057
+024.874,+001.057,+165.782,+0.717,+0.497,-0.596,+00.1920,-02.4600,+09.7110,+00.001299,-00.000461,+00.000287
+024.866,+001.058,+165.778,+0.717,+0.505,-0.598,+00.1890,-02.4460,+09.6890,-00.002490,+00.001112,+00.000022
+024.858,+001.061,+165.779,+0.714,+0.497,-0.593,+00.1760,-02.4430,+09.7740,-00.000423,+00.000394,+00.000498
+024.859,+001.060,+165.776,+0.718,+0.497,-0.596,+00.1690,-02.4240,+09.7330,+00.002228,-00.002094,-00.000451
+024.853,+001.061,+165.772,+0.717,+0.499,-0.600,+00.3140,-02.2740,+09.2380,+00.016446,-00.002167,+00.000517
+024.859,+001.060,+165.778,+0.718,+0.497,-0.592,+00.1960,-02.4380,+09.6750,+00.001493,-00.000028,+00.000644
+024.862,+001.058,+165.778,+0.713,+0.503,-0.597,+00.1090,-02.5430,+10.0950,+00.002001,-00.001026,-00.000211
+024.846,+001.053,+165.775,+0.713,+0.494,-0.601,+00.1660,-02.4420,+09.6880,-00.000977,+00.000686,+00.001319
+024.844,+001.050,+165.777,+0.714,+0.496,-0.604,+00.1880,-02.4870,+09.7210,-00.000479,-00.000282,-00.000137
+024.874,+001.054,+165.779,+0.715,+0.497,-0.599,+00.1790,-02.4320,+09.7450,+00.000649,+00.000363,-00.001640
+024.871,+001.052,+165.773,+0.718,+0.497,-0.598,+00.1620,-02.4720,+09.7070,-00.001093,+00.001169,+00.000363
+024.871,+001.054,+165.774,+0.718,+0.497,-0.596,+00.1630,-02.4520,+09.6970,+00.000211,+00.000937,+00.000056
+024.862,+001.049,+165.766,+0.718,+0.495,-0.594,+00.2090,-02.4370,+09.6840,-00.000101,-00.000291,+00.000958
+024.870,+001.061,+165.763,+0.714,+0.501,-0.599,+00.2160,-02.3640,+09.5890,+00.001635,-00.001209,+00.001891
+024.870,+001.068,+165.777,+0.715,+0.496,-0.600,+00.2050,-02.4660,+09.7020,-00.001320,+00.000336,+00.001200
+024.865,+001.064,+165.783,+0.717,+0.505,-0.598,+00.2070,-02.4430,+09.5910,+00.000501,+00.000820,+00.000097
+024.870,+001.061,+165.775,+0.715,+0.499,-0.600,+00.1680,-02.4790,+09.6790,+00.005574,-00.001569,-00.000108
+024.890,+001.058,+165.763,+0.718,+0.502,-0.596,+00.1750,-02.5030,+09.6680,+00.001255,+00.001494,+00.000203
+024.887,+001.060,+165.755,+0.716,+0.494,-0.598,+00.1950,-02.4550,+09.6960,+00.001463,-00.000828,+00.000411
+024.864,+001.061,+165.766,+0.715,+0.496,-0.593,+00.2060,-02.4590,+09.7300,-00.000323,+00.000228,+00.000282
+024.870,+001.064,+165.758,+0.719,+0.497,-0.594,+00.1810,-02.4760,+09.7120,-00.000890,-00.000407,-00.000360
+024.873,+001.070,+165.766,+0.713,+0.494,-0.593,+00.1630,-02.4730,+09.6780,+00.000867,-00.000492,+00.000214
+024.870,+001.068,+165.768,+0.712,+0.491,-0.599,+00.1850,-02.4620,+09.6950,+00.001104,-00.000600,+00.000563
+024.857,+001.065,+165.772,+0.714,+0.491,-0.591,+00.1860,-02.4810,+09.6870,+00.000789,+00.000129,-00.000009
+024.862,+001.068,+165.776,+0.714,+0.499,-0.593,+00.2050,-02.4530,+09.7110,+00.000095,-00.000537,-00.001079
+024.879,+001.072,+165.784,+0.718,+0.489,-0.605,+00.1890,-02.4830,+09.6720,+00.000161,-00.000169,-00.001080
+024.890,+001.066,+165.774,+0.716,+0.504,-0.591,+00.1300,-02.5030,+09.7550,-00.002842,+00.001995,-00.001961
+024.880,+001.065,+165.775,+0.715,+0.501,-0.595,+00.1790,-02.4650,+09.7020,-00.000439,+00.000208,+00.000440
+024.880,+001.067,+165.763,+0.714,+0.494,-0.595,+00.1790,-02.4670,+09.7300,-00.000132,-00.000291,+00.000006
